ulasan bersih,sentimen
bismillahirrahmanirrahim makasih mudah mbanking,netral
tolong dijawabini atm aplikasi otomatis kartu nyaterus hp riset masukin nomor kartu tolong gimna,netral
sangat baik,positif
oke baik,positif
kerja update data data aplksi livin mandiri tolong update langsung terap akses proses proses baik dll,positif
versi baru mantap ringan cepat,positif
henti aplikasi,netral
hallo livin mandirisebelum baru tampil livine kasih jempol baru livine paylater saldo blokir tidak telat jatuh tempokalo gin butuh dana lebih isi saldo blokir bulan tolong tinjau kecewa pegawai kantor bank mandiri tidak erti program baru,negatif
ganti kartu gpn visa pergi kcp dekat pusat kota tolong baik sistem uang ganti kartu bisa sampe jam lebih,positif
habis baharu tidak bisa buka arah buka akses telfonsudah klik tidak bisa,negatif
tidak bisa respon buruk,negatif
semalem top resi tidak hasil saldo kurang gimana yah biar bisa saldo mohon bantu,positif
sangat bagus,positif
tolong baik tidak bisa akses livin perangkat alas baik baik banget butuh akses,netral
akun tidak bisa masuk,negatif
livin baru baharu tidak bisa transaksi transfer topup dll,negatif
update versi baru aplikasi login aplikasi bisa transaksi lebih stabil versi kasih bintang stabil baru kasih bintang,netral
livin tidak bisa acces eror rpt mulu lebih baik bobrok,netral
oke,netral
bagus,positif
mw login bolak foto selfi pasword pin tidak payah,netral
transaksi top dana livin malam transaksi gagal saldo potong kirim emailchat watlpn call center tidak bisa butuh transaksi cepat parah gagal transaksi nominal baru respon cepat,negatif
nelponin cs mandiri susah banget nunggu gada terima panggil ngabisin pulsa maaf kasih bintang karna gatau komplain mana,netral
tingkat biar bagus,positif
sandi livin nyh blokir mna uang nyh tanyain cabang mandiri nunggu,netral
aplikasi ribet lihat menu saldo rek tidak tampil,netral
baru daftar sulit rekam wajah susah ampun udah lebih x coba tidak bisapadahal hp low end parah mudah sulit bumn kayak gin aplikasi kayak kelas mula teknologi,negatif
ribet transaksi updeteno indosat dalam tidak sinyal hadech,netral
livinku kartu blokir tidak bisa digunakanpadahal diurusii cabang mandiri,negatif
aplikasi livin mandiri sampah login livin ajah tidak bisah atm asli sya ngurus bank mandiri ktp dateng mandiri ngurusnya sulit kasih tau atmnya tinggal rumah tidak bisah bantu sampah mandiri lebih baik tidak download,negatif
gmn liat saldo,netral
gercep paten satpam ramah layan aman,netral
mandiri ampas ngurus ajah buka blokir ribet atm sya ribet tinggal buka blokir livin mandiri atm ajah ribet,netral
buka atur,netral
sangat mudah transaksi tampil oke,netral
tidak bisa masuk aplikasi knpa,negatif
bagus,positif
kecewa rekening nga kepakek blan blokir rekening pas diaktifin kta teler bank rekening hapus gmna mandiri klau emng rek udah blokir nga bisa diaktifin knpa rekening msih bisa nerima transfer dri orang hadeh,negatif
mntap,netral
banyak errornya,negatif
nyusahin pake mandirinyetak kartu pusatapa pusatapa cabang nyetak doank kartu pusat,netral
bagus,positif
percaya mantap,positif
hp samsung tidak bisa akses livinselalu notif hp tidak dukung livin,negatif
sulit nasabah,netral
upgrade mlh tulis mati panggil nggk skrng mlh dbkin ribet izin kontak lh telepon lh aneh mnding gaush upgrade gin,netral
rek bsu skrg nyangkut rb aye sedekahin lu,netral
tidak bis login,netral
tembus total station,netral
susah buka,netral
sangat bantu thx mandiri,netral
sangat bantu,netral
tidak bisa login tulis rpt,negatif
moga depan baik,positif
qris tidak bisa selesai update,negatif
ku kasih bitang tidak bisa login,negatif
atur sidik jari tidak bisa,negatif
card buku tabung kerja,netral
aplikasi terndk sistem amburadul,netral
download aplikasi g bisa bukahabis klik menu utama layar hp,netral
versi beda yah tidak beda tampil kartu ubah iklan sajah gold tidak ubah pengaruh tidak transaksi,netral
pinjam dana tidak padahall aktif transaksi pakai livin,netral
login tidak bisa mudah nasabah sulit nasabah,negatif
aplikasi bagus sayang aplikasi tidak sengaja terhapussaya tidak bisa verifikasi karna tgl kartu kartu aktif panjang otomatistp aplikasi menginginkn data sesuai tulis kartu,netral
masuk ni livin mandiri kembali fitur referral nomor hp nasabah guna baru livin kode referal share link ribet kandang poin nggak,netral
gimana si transfer gagal saldo potong,negatif
mantap,positif
tolong maitenance jaring pemberitahuan jawa maintenance jam wib timur jam wit aktivitas pagi ganggu kait bayar transfer tari atm,netral
banyak maintenen lu maintenen sampe jam hadeh,netral
maintenance pakai transfer qris tidak bisa,negatif
aplikasi ribet minimal transaksi pas limit atur biaya adminya ngaco lu kasih biaya adminlah aneh,netral
verifikasi wajah susah ampiyunn aplikasi belah lancarcuma sulit,netral
login hp gabisa pas kode otp masuk suruh tunggu layan,netral
jelek masak offline sampe jam pagi,negatif
knapa yah aplikasi suka maintenance transfer,positif
tidak bisa login muncul layan tidak sedia proses tingkat udah minggu ttp ngak bisa login,negatif
verifikasi wajah susah suruh kedip mata sakit tidak hasil tau sistem gimna,netral
tolong gimana masuk livin sush transaksi,netral
eror atm tidak bisa transfer,negatif
update livinku tidak bisa buka kyk muncul gambar aneh,negatif
tidak app masak mbanking gabisa nomor hp ribett mohon baik uda komplain cabang dekat nihil hasil,positif
layan sangat buruk ganggu tidak,negatif
top,positif
payah lahterlalu makan maintenant udah butuh darurat eror payah,netral
login susah niat tidak sih aplikasi parah,negatif
login tidak bisa masuk apknya,negatif
yasaya masuk livin tidak bisakeluar sendiriterus coba hapus download lagitetap tidak bisa masuk buruk layan nyasaya coba dm instagramgak dibalassudah kyk gin,negatif
daftr sush tolng prmudh bir gampang daftr onlen nyh,netral
praktis ribett uang aman,netral
verifikasi ulang udah gitu suka otomatis nyaman pakai applikasinya,positif
tolong dibenerin sistem smartphone osnya original kedetek tidak bisa akses,negatif
mataplah,netral
mobile banking baik fitur lengkap mudah pandu sangat cocok genz,positif
login aplikasi arahin ganti password pin ribet banget,netral
pin password udah rubah suruh ganti udah ganti x,netral
kecewa mandiri pinjam lunas th urus muncul saldo tahan tolong baik sistem,netral
produk ksmnya kaga yaah,netral
knpa aq tidak bs masuk aplikasi livin slu tunggu panggil selesai bs tolong bantu,netral
tidak bisa buka terang ganggu malwareuda cek tidak ads malwarega axa aplikasi share screen kdg bisa dibukantar tidak bs,negatif
tidak bisa masuk masukin nom kartu gx da kartu bingung,negatif
tidak bisa akses udah izin aplikasi tidak bisa,negatif
good,netral
login livin gabisa kartu fisik mandiri,netral
males pakai mandiri enak pakai bank bca,netral
masuk livin mandiri susah apal ganggu,netral
verifikasi wajah tidak bisa perintah kedip mata kedip mata gagal,negatif
update versi baru rekening virtual non aktif dana egk bisa ambilmohon masuk nyasaya hubung cs bisa terhubungsaya kirim email balas,netral
aplikasi gamasuk akal udah alamat sesuai ktp suruh ulang berkalikali benerin apknya,netral
oke mantap,positif
pindah hp login suruh cabangribet tidak belah,netral
,netral
good,netral
aplikasi mantap senang guna,positif
daptar livin besok tidak bisa masuk ganti password login isi nomor kartu atm laku kartu atm kartu atm mandiri solusi biar bisa login livin mandiri,negatif
daftar livin masuk kode otp muncul layan tidak sedia,netral
tidak bisa pakai,negatif
livin tidak notif transaksi gaktau tidak buka aplikasi,netral
good,netral
sangat puas mandiri,positif
rekening sekalisekali buka rekening mandiri layan jelek banget,negatif
oke banget,netral
masuk apakh ganggu selasa tgl,netral
coba terima gaji tinggal transfer bca shopee pay baru transfer bca seabank,netral
livin tidak bisa buka krena aplikasi bahaya hpus aplikasi sya msih tidak bukk kenpa min,negatif
mantap,positif
mantap,positif
aplikasi tidak bisa wifi stelan wifi aplikasi tidak tera,negatif
oke,netral
tidak bisa buka aplikasi masuk kode otp langsung timbul tulis tidak bisa akses,negatif
bagus,positif
pribadi aplikasi bagus mudah sangat percaya bank mandiri fiturnya lengkap bayar,positif
sangat baik,positif
gmail tidak kirim detail nomer kartu debit udah deposit tanggal sampe dapet kirim detail nomer kartu debit gimana,netral
mandiri aneh sistemnyamasa potong biaya kartu debit ambil kali potong juni tidak karna kerja tidak pake mandiri,netral
sangat bantu,netral
transaksi gagal tunda saldo potong minggu tidak kembali saldo lapor email cs min,negatif
rek mandiri kartu bisa login livin kak bekas bantu subsidi kolektip usaha,netral
aplksi livin bagus kalaw bisa tolong tambhkan jamwaktu transaksi min menu transaksi tampil aplkasi tanggal semntra jam tidak download pdfexcel etatement bisa cek smpai seblum,positif
gimana ngatasi aman akun tidak aplikasi sharescen,netral
akun hilang tidak menu login aplikasi nyatolong bantu atas segerahal terima transfer saldo kaka,netral
aplikasi jelek gabisa login,negatif
aplikasi tidak bisa akses,negatif
aplikasi masuk susah bikin kartu atm,netral
lilin byk mandiri mudah cepat butuh butuh mudah lilin byk mandiri mudah lilin mandiri mandiri tampil beda mandiri update mandiri depan percaya lilin byk mandiri doa harap baik mandiri nasabah moga nikmat nasabah mudah nasabah kecewa nasabah baik,positif
tidak bisa masuk yah ulang buat password mulu aneh aplikasi,negatif
gimana hp infinix hot nfc tidak bisa instal livin os tidak dukung os android livin butuh os android,negatif
akun tidak dpt akses trx suruh cabang ngerepotin banget nih bank nelp tarif g ngotak hasil tidak cabang kembali pulsa sy,netral
oke,netral
udah buka rekening kartu tidak bisa login livin mandiri,negatif
modus marketing kur mandiri suruh instal livin mandiri pke referal ujung aju tidak proses licik tu salesbiar referal pke,netral
ribet daftar,netral
bantu,netral
good job,netral
jam tunggu rekening proses canda kah membuangbuang daftar online livin,netral
kendala pasuk kenal wajah tidak bisa,negatif
habis update buka tidak bisa huasyu,negatif
livin bisa bantu trnsaksi,netral
baik,positif
payah mbaking qris saldo pending nga balikin gimnh nih payah sistem kerja nga bank,netral
aplikasi tempik kali kali uda kasih pasword baru bug baik,positif
aplikasi bagus sangat mudah stabil pakai jaring,positif
muncul ksm livin mandiri,netral
top,positif
aplikasi sngt bgus mmbantu slain sbgi guna livin cukup sya pribadi lbih prcaya mnggunakan bank mandiri krn sjauh blum prnah nasabah hilang sy tidak asusmsi buruk utk guna bank komentar mmbantu teman simpan dana bank lebih percaya livin mandiri sangat bagus dpt percaya sihh jaya livin mandiri,netral
ngabisin aplikasi livin mandiri kirain hp sya masalah trnyata aplikasi yb tidak beresdasar tidak mutu mandiri tidak apalikasi,netral
halo ka kartu atm blokir tidak bisa masuk mbanking gara blokir,negatif
aplikasi livin kurang tidak bisa beli obligasi livin bank bisa aplikasi bank bcacimbnisp dll,negatif
tidak bisa akses update parah pindah bank bikin emosi pagi pagi,negatif
tidak bisa login tidak bisa alas keman aplikasi playstore sy hapus aplikasi download playstore sistem aman mandiri lemah bad hapus aplikasi sy lebih baik hapus aplikasi mandiri,netral
livin mandiri sii eror yasaya masuk tidak bisa suru tunggu,negatif
update tidak bisa buka aplikasinyamau log sendiritolong aplikasi mantap,netral
terimakasih,netral
blokir si saldo kupadalan jatuh tempo mandiri ku lapor mandiri,netral
moga bisa lbh orng bisa mandiri nabung,netral
oke,netral
baik,positif
gmna daftar gabisa masuk dashboard ulang isi saldo gmna tolong bantu,netral
aju sandi blokir beli pulsa rb tunggu antri banget sampe pulsa abis lebih perhati tolong,netral
bisa bantu bisa login terang daftar kartunyadan pesan masuk email kode otp nomer rekeningnyabisa bantu bisa login terimakasih,netral
sangat bagus manfaat,positif
aplikasi livin hp mental tidak bisa buka mohon info,negatif
gimana login rekening tidak pake kartu debit,netral
bug,netral
tingkat,netral
mandiri bikin jengkel tidak telat telat bayar ditelfonin alas bisa sampe x reza mandiri yakami ganggu risih dri sekian karyawan resah tidak nyaman sengaja biar pindah bank mega mohon kroschek kmbali cs ituedit ah kasih bintang ajadan bikin risih sengaja kali biar org prgi,netral
lebih mudah transaksi apa ribet,netral
terimakasih livin aplikasi muda nyaman kendala,netral
,netral
tidak bisa buka,negatif
livin sy tidak dot,netral
real good,netral
tidak bisa login layan tidak bisa akses mohon baik,netral
tidak bisa buka,negatif
oke,netral
kecewa banget sma bank ngajukan pinjam ksm tidak masalah nunggak saldo tahan nominal hutang cek banking tau nominal gatau atur kcuali nunggak dll bunga cicil tidak masalah saldo tahan tidak sesuai nominal hutang,negatif
masuktp tidak proses cape males ngurusin k bank ribet,netral
susah update npwpnpwp digitnamun tentu digit aplikasi livinsudah puluh kali coba tidak bisa,negatif
sukses,netral
bantu skali,netral
saldo k top underk gabisa gagal maksud,netral
buat online pas login masuk nomor kartu serta aktip gimana login kartu bom mohon bantu chat email tidak balesan,netral
aplikasi enak mudah paham sandi salah kali langsung ubah pake rekening ah,netral
kk bisa pinjam,netral
keren,netral
login pake kartu,netral
aplikasi sangat bagus,positif
pakai bank mandiri aplikasi tidak bisa pinjam ksm bumn,negatif
lot,netral
tidak bisa buka,negatif
gajela ni livin,netral
lot,netral
eror,netral
sih atur akses telpon tidak beres,netral
bantu,netral
tidak bisa diaktfkan,negatif
sangat baik,positif
aplikasi tutup mohon solusi,netral
mantap,positif
sgt mudah,netral
sangat tidak muas susah kali buka sangat tidak bantu sangat repot cepat susah update ribet cek saldo susah cek saldo intip susah tidak bisa,netral
upgrade bikin tidak nyaman aplikasi tidak bisa buka telpon nyusahin,negatif
,netral
tolong rangin pelihara sistem minggu kali tidak kayak gin sebentar ndak pelihara jam tidak kunjung selesai jam malam pas bayar tidak bawa uang cash nunggu pelihara selesai alhasil ngutang ninggalin ktp jamin duh malu banget emosi livin mandiri ciri khas pelihara sistem,netral
tolong sangat butuh sistem baharu gagal transaksi mulu update minimal cepet kek aplikasi butuh transaksi gagal mulu heran gue,negatif
livin ganguan payah,netral
klau mentenen bilang donk kasih notifikasi jgn bikin org kecewa ulang g ad kasih notifikasi,negatif
mudah dlm transaksi,netral
sangat membntu,netral
tolong notifikasi masuk email duit masuk,netral
tidak bisa buka tulis hp tidak dukung android baru,negatif
livin mandiri tidak bisa login upgrade baru hubung pdahal tidak masalah gimana solusi tolong livin mandiri,negatif
bank tidak atm terbelokir,netral
oke,netral
bagus,positif
aplikasi bagus cuman lot buka aplikasi developer tolong baik lancar buka aplikasi tidak nunggu menit mybca brimo lancar cuman livin lot,positif
